Centre Name,Total,Aggregate,
0272-MEENA PALADI JDA COLONY,3,0.00022127,
0213-VETAL PETH 03,13,0.00095884,
0354-TALAV MUVADA,5,0.00036879,
0077-ASHTA-06,6,0.00044254,
0130-ABHAY NAGAR 01,11,0.00081133,
0105-TARDAL 07,8,0.00059006,
0148-KURUNWAD 05,6,0.00044254,
0330-J-SECTOR-04,5,0.00036879,
0158-TANDULWADI 04,10,0.00073757,
0179-KAROLI,2,0.00014751,
0509-PITHAI-5,13,0.00095884,
0131-HANUMAN NAGAR 06,8,0.00059006,
0357-RUPAREL-2,3,0.00022127,
0056-KACHRODA-A,1,0.00007376,
0385-DATTA NAGAR-04,2,0.00014751,
0052-100 FUTTI ROAD 02,4,0.00029503,
0601-VAGHJI MASTER NI CHALI,3,0.00022127,
0234-SHAHAPUR 11,3,0.00022127,
0129-SAKARIYA FALIYU BAHI-3,3,0.00022127,
0449-SAROI NAGAR-2,4,0.00029503,
0373-DATTA NAGAR-03,2,0.00014751,
0121-UTTARESHWAR PETH 03,1,0.00007376,
0450-SN AJMERI MASJID-28,11,0.00081133,
0169-RAMPURA,1,0.00007376,
0187-WATEGAON 02,2,0.00014751,
0248-KANCHRODA PHULERA,3,0.00022127,
0229-SUBHASH TEKDI-15,3,0.00022127,
0254-SHANTI NAGAR - A,2,0.00014751,
0091-SANGTEDA-C,4,0.00029503,
0280-SHENOLI-03,6,0.00044254,
0323-AMBEDKAR NAGAR ISLAMPUR-30,4,0.00029503,
0366-YEDENIPANI-03,8,0.00059006,
0192-MUJAWAR GALLI 01,1,0.00007376,
0254-DHULGAON 04,3,0.00022127,
0348-SN HARI MASJID - 21,9,0.00066381,
0255-KALE PLOT 02,1,0.00007376,
0167-SHERI,2,0.00014751,
0006-GANGAPUR GAON 02,2,0.00014751,
0448-RAMABAI-12,8,0.00059006,
0001-HINGOLI 01,15,0.00110636,
0132-DEOLI-A,1,0.00007376,
0168-KHANJIRE MALA 01,5,0.00036879,
0284-KHELNA-C,2,0.00014751,
0048-HADAMATIYA,4,0.00029503,
0276-KATHANA SEEM RAMPURA,1,0.00007376,
0240-SHIRDHON 04,9,0.00066381,
0151-MAJIWADA-04,1,0.00007376,
0347-SANGAR GALLI 01,2,0.00014751,
0182-BHASKAR NAGAR-4,3,0.00022127,
0262-SIDHHARTH PARISAR 01,5,0.00036879,
0551-RAM PRASAD NI CHALI-4,1,0.00007376,
0033-GHAT GATE-A,4,0.00029503,
0234-BHAGATSINGH VASAHAT 06,10,0.00073757,
0175-ATIGARE-02,2,0.00014751,
0121-SAKARCHAND MUKHINI CHALI-2,3,0.00022127,
0356-SN LOTUS COLONY - 10,7,0.0005163,
0408-SN RAJKAMAL-02,4,0.00029503,
0095-NAVAKHED 01,5,0.00036879,
0256-SAHKAR NAGAR 07,11,0.00081133,
0086-LOHA MANDI-F,1,0.00007376,
0049-JALGEVADI-01,12,0.00088509,
